Load ID,Pickup State,Delivery State,Loaded Miles,Deadhead Miles,Rate Per Mile,Fuel Cost,Detention Hours,Driver Assigned,Dispatcher,Cost per Mile,Gross Revenue,Total Cost,Net Profit,Broker Name,Load Date,Total Miles,Profit per Mile
L0044,CA,NJ,1070,137,2.36,765.89,0,Driver 8,Dispatch B,1.04,2525.2,1261.21,1263.99,XPO,2025-01-6,1207,1.18
L0045,IL,GA,323,223,2.23,358.48,2,Driver 7,Dispatch B,1.04,720.29,570.18,150.11,Coyote,2025-01-7,546,0.46
L0046,CA,GA,406,96,2.22,315.76,5,Driver 4,Dispatch C,0.96,901.32,483.78,417.54,CH Robinson,2025-01-22,502,1.03
L0047,NC,OH,650,267,3.06,520.42,5,Driver 4,Dispatch A,0.86,1989,785.47,1203.53,JB Hunt,2025-01-23,917,1.85
L0048,GA,CA,680,227,3.05,671.15,5,Driver 3,Dispatch A,1.18,2074,1074.64,999.36,CH Robinson,2025-01-9,907,1.47
L0049,FL,NJ,819,235,2.08,750.84,2,Driver 4,Dispatch A,1.12,1703.52,1175.31,528.21,CH Robinson,2025-01-11,1054,0.64
L0050,NJ,GA,974,149,2.75,654.03,0,Driver 7,Dispatch B,0.96,2678.5,1082.54,1595.96,TQL,2025-01-4,1123,1.64
L0051,CA,TX,769,122,2.94,627.46,2,Driver 6,Dispatch C,1.14,2260.86,1014.1,1246.76,XPO,2025-01-17,891,1.62
L0052,NC,FL,755,120,2.06,515.72,2,Driver 3,Dispatch A,1.02,1555.3,889.29,666.01,Coyote,2025-01-10,875,0.88
L0053,PA,IL,944,216,2.52,846.85,5,Driver 1,Dispatch B,1,2378.88,1160.67,1218.21,JB Hunt,2025-01-15,1160,1.29
L0054,IL,FL,558,79,3.16,394.93,5,Driver 9,Dispatch C,1,1763.28,637.17,1126.11,XPO,2025-01-4,637,2.02
L0055,AZ,CA,915,73,1.98,730.82,1,Driver 7,Dispatch B,1.09,1811.7,1076.74,734.96,XPO,2025-01-23,988,0.8
L0056,PA,NC,626,84,2.63,429.44,5,Driver 3,Dispatch B,0.97,1646.38,691.01,955.37,TQL,2025-01-2,710,1.53
L0057,TX,NJ,981,80,1.92,617.43,3,Driver 3,Dispatch A,0.87,1883.52,923.15,960.37,XPO,2025-01-4,1061,0.98
L0058,CA,IL,887,260,2.96,742.35,4,Driver 8,Dispatch B,0.92,2625.52,1056.86,1568.66,CH Robinson,2025-01-17,1147,1.77
L0059,NJ,NJ,1097,256,2.63,968.19,2,Driver 3,Dispatch C,1.03,2885.11,1394.34,1490.77,CH Robinson,2025-01-10,1353,1.36
L0060,OH,NJ,504,212,2.93,530.96,1,Driver 6,Dispatch B,1.14,1476.72,819.54,657.18,XPO,2025-01-9,716,1.3
L0061,NJ,PA,922,86,2.85,655.04,2,Driver 8,Dispatch A,1,2627.7,1011.5,1616.2,TQL,2025-01-25,1008,1.75
L0062,IL,GA,775,243,2.23,684.96,5,Driver 5,Dispatch C,1.12,1728.25,1138.35,589.9,Echo,2025-01-19,1018,0.76
L0063,CA,TX,680,147,2.57,557.35,5,Driver 7,Dispatch B,1.04,1747.6,861.35,886.25,JB Hunt,2025-01-20,827,1.3
L0064,NC,CA,1105,246,2.75,781.18,0,Driver 5,Dispatch A,0.91,3038.75,1225.26,1813.49,JB Hunt,2025-01-3,1351,1.64
L0065,AZ,OH,884,60,2.65,531.99,4,Driver 9,Dispatch A,0.82,2342.6,770.68,1571.92,Coyote,2025-01-14,944,1.78
L0066,OH,GA,1056,80,2.06,735.53,5,Driver 3,Dispatch B,1.06,2175.36,1200.09,975.27,CH Robinson,2025-01-23,1136,0.92
L0067,NJ,NC,503,90,3.01,426.69,2,Driver 4,Dispatch C,0.98,1514.03,583.77,930.26,XPO,2025-01-26,593,1.85
L0068,GA,AZ,339,114,3.13,305.69,4,Driver 7,Dispatch B,0.95,1061.07,429.51,631.56,TQL,2025-01-3,453,1.86
L0069,GA,CA,337,160,2.63,329.25,5,Driver 3,Dispatch C,1.09,886.31,540.66,345.65,Echo,2025-01-19,497,1.03
L0070,OH,NC,785,134,2.85,685.7,3,Driver 4,Dispatch A,1.15,2237.25,1059.8,1177.45,TQL,2025-01-13,919,1.5
L0071,GA,TX,353,53,2.72,301.42,0,Driver 6,Dispatch B,1.01,960.16,409.81,550.35,JB Hunt,2025-01-18,406,1.56
L0072,FL,PA,977,55,3.05,710.37,5,Driver 8,Dispatch A,1.05,2979.85,1081.86,1897.99,Coyote,2025-01-5,1032,1.94
L0073,CA,PA,876,199,3.16,639.89,1,Driver 10,Dispatch C,0.96,2768.16,1033.79,1734.37,XPO,2025-01-5,1075,1.98
L0074,PA,CA,676,119,2.94,553.18,2,Driver 2,Dispatch B,1.11,1987.44,882.39,1105.05,Coyote,2025-01-22,795,1.63
L0075,AZ,FL,872,270,2.68,639.38,2,Driver 3,Dispatch C,0.86,2336.96,979.2,1357.76,JB Hunt,2025-01-16,1142,1.56
L0076,NJ,FL,535,133,2.09,412.66,2,Driver 7,Dispatch B,0.93,1118.15,624.18,493.97,JB Hunt,2025-01-14,668,0.92
L0077,OH,GA,725,61,2.59,435.76,1,Driver 3,Dispatch A,0.9,1877.75,710.55,1167.2,Echo,2025-01-4,786,1.61
L0078,GA,PA,951,78,2.29,681.77,4,Driver 9,Dispatch A,1.01,2177.79,1040.9,1136.89,XPO,2025-01-4,1029,1.2
L0079,PA,IL,730,222,2.28,577.84,1,Driver 6,Dispatch B,0.96,1664.4,916.68,747.72,CH Robinson,2025-01-12,952,1.02
L0080,TX,PA,625,173,2.84,597.12,3,Driver 9,Dispatch A,1.02,1775,812.68,962.32,Echo,2025-01-25,798,1.54
L0081,CA,TX,929,59,2.95,598.09,4,Driver 8,Dispatch A,1.04,2740.55,1026.26,1714.29,JB Hunt,2025-01-23,988,1.85
L0082,NJ,AZ,824,247,2.4,635.74,2,Driver 4,Dispatch B,0.92,1977.6,985.39,992.21,Echo,2025-01-25,1071,1.2
L0083,IL,CA,821,71,2.75,559.74,5,Driver 1,Dispatch A,0.89,2257.75,792.57,1465.18,Echo,2025-01-4,892,1.78
L0084,IL,GA,392,273,1.99,468.1,1,Driver 3,Dispatch B,1.13,780.08,749.86,30.22,JB Hunt,2025-01-16,665,0.08
L0085,TX,FL,659,193,2.3,608.42,1,Driver 1,Dispatch A,1.04,1515.7,889.95,625.75,Echo,2025-01-17,852,0.95
L0086,AZ,PA,406,90,2.62,343.98,3,Driver 10,Dispatch C,1.07,1063.72,530.16,533.56,JB Hunt,2025-01-3,496,1.31
L0087,PA,CA,871,234,1.81,771.93,1,Driver 4,Dispatch B,1.13,1576.51,1247.18,329.33,JB Hunt,2025-01-14,1105,0.38
L0088,IL,OH,482,77,2.33,312.25,5,Driver 10,Dispatch B,0.96,1123.06,538.65,584.41,JB Hunt,2025-01-13,559,1.21
L0089,TX,IL,819,156,1.9,717.71,1,Driver 5,Dispatch B,1.05,1556.1,1020.46,535.64,TQL,2025-01-1,975,0.65
L0090,CA,NJ,993,216,3.01,894.75,0,Driver 5,Dispatch C,1.01,2988.93,1223.93,1765,Echo,2025-01-11,1209,1.78
L0091,NC,IL,688,91,2.74,541.58,2,Driver 7,Dispatch A,1.08,1885.12,840.62,1044.5,XPO,2025-01-27,779,1.52
L0092,GA,PA,778,174,2.55,698.22,1,Driver 9,Dispatch A,1.13,1983.9,1079.86,904.04,XPO,2025-01-11,952,1.16
L0093,NJ,PA,955,125,2.52,682.63,5,Driver 2,Dispatch B,1,2406.6,1077.64,1328.96,Coyote,2025-01-14,1080,1.39
L0094,NJ,CA,772,109,2.03,601.82,2,Driver 8,Dispatch C,0.97,1567.16,851.2,715.96,XPO,2025-01-1,881,0.93
L0095,AZ,CA,363,217,2.77,429.95,2,Driver 8,Dispatch C,1.08,1005.51,625.92,379.59,XPO,2025-01-4,580,1.05
L0096,NJ,AZ,432,141,3.13,348.38,2,Driver 8,Dispatch A,1.04,1352.16,595.8,756.36,CH Robinson,2025-01-23,573,1.75
L0097,OH,TX,862,197,2.79,750.51,3,Driver 6,Dispatch A,1.12,2404.98,1184.51,1220.47,JB Hunt,2025-01-27,1059,1.42
L0098,AZ,NJ,394,183,2.04,352.53,5,Driver 7,Dispatch C,1,803.76,577.18,226.58,XPO,2025-01-18,577,0.58
L0099,IL,TX,410,253,2.21,390.43,0,Driver 10,Dispatch C,0.93,906.1,619.71,286.39,Echo,2025-01-7,663,0.7
L0100,IL,FL,862,50,2.31,574.88,3,Driver 9,Dispatch B,0.9,1991.22,823.04,1168.18,CH Robinson,2025-01-10,912,1.36
L0101,FL,PA,666,74,1.99,437.7,4,Driver 5,Dispatch C,0.84,1325.34,623.17,702.17,JB Hunt,2025-01-6,740,1.05
L0102,IL,OH,1193,291,2.82,1099.38,1,Driver 8,Dispatch A,1.18,3364.26,1751.98,1612.28,XPO,2025-01-25,1484,1.35
L0103,AZ,OH,780,64,2.51,486.75,3,Driver 5,Dispatch A,0.84,1957.8,712.53,1245.27,CH Robinson,2025-01-15,844,1.6
L0104,IL,CA,679,127,1.92,575.52,0,Driver 4,Dispatch B,1.09,1303.68,879.41,424.27,XPO,2025-01-25,806,0.62
L0105,NC,TX,771,272,2.6,718.98,2,Driver 8,Dispatch C,1.04,2004.6,1082.5,922.1,JB Hunt,2025-01-17,1043,1.2
L0106,AZ,PA,608,275,2.11,564.97,4,Driver 3,Dispatch B,1.01,1282.88,893.55,389.33,Coyote,2025-01-18,883,0.64
L0107,OH,AZ,1096,168,2.92,882.54,1,Driver 4,Dispatch A,1.03,3200.32,1301.45,1898.87,XPO,2025-01-25,1264,1.73
L0108,NJ,NC,807,116,1.99,548.09,2,Driver 9,Dispatch A,1.04,1605.93,963.42,642.51,XPO,2025-01-18,923,0.8
L0109,IL,OH,380,205,2.79,333.9,3,Driver 6,Dispatch A,1,1060.2,586.63,473.57,JB Hunt,2025-01-4,585,1.25
L0110,AZ,NJ,707,208,2.68,534.26,2,Driver 10,Dispatch C,1.03,1894.76,945.06,949.7,Coyote,2025-01-7,915,1.34
L0111,CA,NJ,830,134,2.04,714.29,2,Driver 5,Dispatch B,1.12,1693.2,1076.12,617.08,Echo,2025-01-22,964,0.74
L0112,FL,GA,930,182,2.83,813.63,2,Driver 7,Dispatch A,1.1,2631.9,1226.85,1405.05,XPO,2025-01-7,1112,1.51
L0113,PA,PA,801,208,2.12,619.36,4,Driver 7,Dispatch C,0.95,1698.12,955.59,742.53,XPO,2025-01-16,1009,0.93
L0114,GA,AZ,1003,237,2.1,881.11,5,Driver 5,Dispatch C,1.13,2106.3,1400.91,705.39,CH Robinson,2025-01-22,1240,0.7
L0115,NC,PA,398,98,2.64,283.8,5,Driver 7,Dispatch C,0.86,1050.72,426.89,623.83,CH Robinson,2025-01-24,496,1.57
L0116,FL,OH,869,168,2.99,724.23,4,Driver 7,Dispatch B,1.02,2598.31,1056.85,1541.46,TQL,2025-01-2,1037,1.77
L0117,IL,OH,578,195,2.17,430.17,4,Driver 5,Dispatch B,0.86,1254.26,662.61,591.65,TQL,2025-01-8,773,1.02
L0118,NJ,CA,363,173,2.03,339.54,5,Driver 7,Dispatch C,0.95,736.89,507.86,229.03,CH Robinson,2025-01-6,536,0.63
L0119,AZ,IL,776,257,3.01,675.99,5,Driver 1,Dispatch A,1.01,2335.76,1039.28,1296.48,Coyote,2025-01-7,1033,1.67
L0120,NJ,NC,1045,127,2.16,658.65,1,Driver 1,Dispatch A,0.92,2257.2,1080.11,1177.09,JB Hunt,2025-01-28,1172,1.13
L0121,TX,CA,721,273,2.47,630.87,5,Driver 4,Dispatch A,0.91,1780.87,908.61,872.26,XPO,2025-01-11,994,1.21
L0122,FL,NJ,1152,213,3.07,939.71,3,Driver 10,Dispatch C,1.09,3536.64,1489.19,2047.45,TQL,2025-01-20,1365,1.78
L0123,TX,CA,377,249,2.93,351.48,1,Driver 4,Dispatch B,0.98,1104.61,611.25,493.36,Echo,2025-01-10,626,1.31
L0124,TX,NJ,304,269,2.59,354.26,5,Driver 3,Dispatch C,0.95,787.36,541.65,245.71,Coyote,2025-01-27,573,0.81
L0125,TX,OH,381,140,2.19,330,4,Driver 3,Dispatch A,0.98,834.39,512.48,321.91,Coyote,2025-01-12,521,0.84
L0126,NC,NC,389,128,2.18,327.46,3,Driver 4,Dispatch C,1.06,848.02,548.87,299.15,Echo,2025-01-12,517,0.77
L0127,IL,OH,424,149,2.37,378.36,4,Driver 7,Dispatch A,0.97,1004.88,557,447.88,Coyote,2025-01-16,573,1.06
L0128,FL,IL,357,185,2.54,347.14,2,Driver 3,Dispatch B,0.93,906.78,506,400.78,XPO,2025-01-26,542,1.12
L0129,TX,CA,501,72,2.86,387.04,4,Driver 7,Dispatch B,1.08,1432.86,618.09,814.77,XPO,2025-01-8,573,1.63
L0130,OH,CA,912,199,2.66,790.38,0,Driver 3,Dispatch A,1.13,2425.92,1260.31,1165.61,XPO,2025-01-19,1111,1.28
L0131,CA,FL,1176,259,2.22,1071.18,5,Driver 6,Dispatch B,1.07,2610.72,1528.37,1082.35,Coyote,2025-01-26,1435,0.92
L0132,FL,TX,908,189,2.68,657.36,2,Driver 2,Dispatch C,1.01,2433.44,1102.58,1330.86,TQL,2025-01-25,1097,1.47
L0133,NJ,CA,1177,299,2.3,833.02,2,Driver 10,Dispatch C,1,2707.1,1481.08,1226.02,JB Hunt,2025-01-24,1476,1.04
L0134,NC,NJ,519,133,2.61,407,1,Driver 3,Dispatch A,0.89,1354.59,577.76,776.83,TQL,2025-01-24,652,1.5
L0135,FL,NJ,1157,192,2.6,839.69,5,Driver 1,Dispatch A,1,3008.2,1350.22,1657.98,XPO,2025-01-27,1349,1.43
L0136,GA,OH,769,130,1.93,645.31,4,Driver 4,Dispatch C,0.97,1484.17,876,608.17,Coyote,2025-01-16,899,0.79
L0137,NJ,AZ,1003,110,2.37,825.94,1,Driver 1,Dispatch A,1.02,2377.11,1135.06,1242.05,XPO,2025-01-28,1113,1.24
L0138,IL,CA,321,283,2.14,335.94,1,Driver 3,Dispatch B,0.91,686.94,550.97,135.97,CH Robinson,2025-01-10,604,0.42
L0139,CA,FL,657,202,1.94,510.3,1,Driver 8,Dispatch B,1.01,1274.58,870.47,404.11,XPO,2025-01-14,859,0.62
L0140,AZ,AZ,457,291,2.92,493.34,0,Driver 8,Dispatch B,0.95,1334.44,711.08,623.36,Echo,2025-01-1,748,1.36
L0141,GA,OH,801,221,2.08,763.16,0,Driver 3,Dispatch C,1.19,1666.08,1219.03,447.05,XPO,2025-01-24,1022,0.56
L0142,PA,PA,491,282,2.24,515.5,1,Driver 4,Dispatch B,1.02,1099.84,786.18,313.66,Echo,2025-01-25,773,0.64
L0143,TX,NC,868,112,2.74,664.47,1,Driver 8,Dispatch C,0.96,2378.32,943.69,1434.63,CH Robinson,2025-01-7,980,1.65
L0144,OH,IL,643,218,2.52,623.73,3,Driver 5,Dispatch B,1.05,1620.36,908.12,712.24,CH Robinson,2025-01-6,861,1.11
L0145,AZ,CA,843,76,2.36,539.49,1,Driver 2,Dispatch C,1.03,1989.48,949.2,1040.28,XPO,2025-01-25,919,1.23
L0146,NC,TX,1034,213,2.5,785.44,0,Driver 5,Dispatch B,0.9,2585,1125.72,1459.28,Coyote,2025-01-6,1247,1.41
L0147,TX,TX,1003,171,2.61,812.31,5,Driver 3,Dispatch A,1.08,2617.83,1262.22,1355.61,Coyote,2025-01-18,1174,1.35
L0148,IL,OH,715,138,1.99,493.12,2,Driver 5,Dispatch A,0.84,1422.85,720.68,702.17,XPO,2025-01-16,853,0.98
L0149,CA,CA,793,87,2.18,637.83,3,Driver 7,Dispatch A,1.11,1728.74,975.75,752.99,XPO,2025-01-1,880,0.95
L0150,TX,IL,537,219,2.71,446.13,0,Driver 9,Dispatch B,1,1455.27,755.21,700.06,JB Hunt,2025-01-22,756,1.3
L0151,PA,IL,914,119,2.83,610.89,1,Driver 6,Dispatch A,1.01,2586.62,1039.32,1547.3,JB Hunt,2025-01-27,1033,1.69
L0152,TX,IL,902,196,2.11,621.54,5,Driver 1,Dispatch B,0.88,1903.22,966.64,936.58,TQL,2025-01-11,1098,1.04
L0153,IL,AZ,1001,160,2.78,640.46,4,Driver 10,Dispatch C,0.91,2782.78,1050.89,1731.89,Coyote,2025-01-11,1161,1.73
L0154,PA,OH,821,186,2.37,667.93,0,Driver 9,Dispatch B,1.01,1945.77,1018.78,926.99,XPO,2025-01-2,1007,1.13
L0155,GA,PA,399,92,3.04,304.25,0,Driver 8,Dispatch A,0.96,1212.96,469.98,742.98,XPO,2025-01-24,491,1.86
L0156,TX,PA,1090,289,1.98,966.94,4,Driver 6,Dispatch A,1.09,2158.2,1501.89,656.31,XPO,2025-01-22,1379,0.6
L0157,AZ,GA,505,109,1.89,345.05,3,Driver 5,Dispatch A,0.89,954.45,545.85,408.6,Coyote,2025-01-17,614,0.81
L0158,PA,PA,361,210,2.73,390.04,4,Driver 10,Dispatch C,1.01,985.53,575.27,410.26,TQL,2025-01-1,571,1.14
L0159,IL,AZ,326,137,1.88,313.67,3,Driver 5,Dispatch C,1,612.88,464.89,147.99,JB Hunt,2025-01-19,463,0.45
L0160,OH,OH,1088,254,2.86,906.76,5,Driver 4,Dispatch C,1.12,3111.68,1508.44,1603.24,Echo,2025-01-16,1342,1.47
L0161,AZ,IL,609,109,2.47,471.55,4,Driver 10,Dispatch A,1.07,1504.23,765.39,738.84,Coyote,2025-01-15,718,1.21
L0162,TX,FL,684,274,3.07,540.43,1,Driver 10,Dispatch B,0.88,2099.88,844.02,1255.86,XPO,2025-01-19,958,1.84
L0163,NJ,IL,824,233,2.9,596.41,0,Driver 1,Dispatch C,0.89,2389.6,938.11,1451.49,Echo,2025-01-13,1057,1.76
L0164,GA,GA,308,193,3.06,334.25,1,Driver 4,Dispatch C,1.06,942.48,528.77,413.71,Coyote,2025-01-26,501,1.34
L0165,FL,PA,525,185,2.19,421.31,1,Driver 5,Dispatch B,0.91,1149.75,646.23,503.52,TQL,2025-01-3,710,0.96
L0166,PA,FL,492,112,3.13,333.15,4,Driver 2,Dispatch A,0.82,1539.96,493.37,1046.59,JB Hunt,2025-01-6,604,2.13
L0167,OH,PA,942,209,2.66,821.23,0,Driver 5,Dispatch C,1.15,2505.72,1321.26,1184.46,Echo,2025-01-3,1151,1.26
L0168,TX,GA,734,244,2.71,623.1,3,Driver 10,Dispatch C,0.92,1989.14,902.95,1086.19,JB Hunt,2025-01-13,978,1.48
L0169,TX,GA,976,109,3.12,776.88,3,Driver 6,Dispatch B,1.06,3045.12,1145,1900.12,TQL,2025-01-13,1085,1.95
L0170,AZ,OH,371,60,2.04,264.94,4,Driver 5,Dispatch B,0.96,756.84,414.76,342.08,Echo,2025-01-13,431,0.92
L0171,TX,TX,762,58,2.21,486.57,5,Driver 4,Dispatch C,0.97,1684.02,791.96,892.06,Echo,2025-01-1,820,1.17
L0172,IL,FL,665,162,1.93,609.16,3,Driver 4,Dispatch C,1,1283.45,825.3,458.15,Echo,2025-01-16,827,0.69
L0173,CA,IL,708,182,3.16,633.8,2,Driver 5,Dispatch B,1.14,2237.28,1014.37,1222.91,XPO,2025-01-19,890,1.73
L0174,AZ,CA,646,156,1.99,462.32,0,Driver 9,Dispatch B,0.92,1285.54,741.17,544.37,XPO,2025-01-26,802,0.84
L0175,CA,OH,871,257,3,765.22,5,Driver 4,Dispatch B,1.12,2613,1261.04,1351.96,Echo,2025-01-6,1128,1.55
L0176,AZ,GA,938,295,3.06,908.27,0,Driver 7,Dispatch A,1.03,2870.28,1269.45,1600.83,CH Robinson,2025-01-4,1233,1.71
L0177,CA,FL,402,53,2.85,253.91,0,Driver 1,Dispatch B,0.94,1145.7,427.04,718.66,TQL,2025-01-24,455,1.79
L0178,GA,IL,374,261,2.39,374.06,3,Driver 7,Dispatch A,0.89,893.86,562.63,331.23,Coyote,2025-01-11,635,0.89
L0179,PA,CA,458,291,2.9,483.18,4,Driver 9,Dispatch A,0.94,1328.2,705.21,622.99,XPO,2025-01-13,749,1.36
L0180,IL,AZ,781,51,2.27,585.4,5,Driver 1,Dispatch C,1.04,1772.87,863.64,909.23,TQL,2025-01-26,832,1.16
L0181,FL,NC,332,167,2.69,371.65,3,Driver 5,Dispatch A,1.1,893.08,549.71,343.37,JB Hunt,2025-01-17,499,1.03
L0182,IL,NJ,577,285,2.1,530.41,5,Driver 3,Dispatch B,0.89,1211.7,771.37,440.33,TQL,2025-01-24,862,0.76
L0183,AZ,TX,536,108,2.41,379.5,2,Driver 5,Dispatch B,0.9,1291.76,580.22,711.54,TQL,2025-01-23,644,1.33
L0184,CA,TX,1118,140,2.31,786.67,5,Driver 3,Dispatch A,0.98,2582.58,1235,1347.58,CH Robinson,2025-01-16,1258,1.21
L0185,NC,NJ,820,260,2.49,754.76,0,Driver 1,Dispatch C,1.14,2041.8,1233.74,808.06,XPO,2025-01-22,1080,0.99
L0186,TX,AZ,1006,276,2.5,928.69,4,Driver 5,Dispatch C,0.99,2515,1263.18,1251.82,JB Hunt,2025-01-25,1282,1.24
L0187,TX,GA,948,222,2.06,693.39,5,Driver 2,Dispatch B,0.92,1952.88,1078.99,873.89,JB Hunt,2025-01-23,1170,0.92
